,0,1,2,3
281,282,4348,16365413,1867
282,283,4349,16365413,1867
283,284,4350,16365413,1867
284,285,4351,16365413,1867
285,286,4352,16365413,1867
286,287,4353,16365413,1867
287,288,4354,14146113,6356
288,289,4355,14145813,55087
289,290,4356,14145813,55087
290,291,4357,14145813,55087
291,292,4358,14145813,55087
292,293,4359,14145613,1826
293,294,4360,14145613,1826
294,295,4361,14145613,1826
295,296,4362,14145613,1826
296,297,4363,14145613,1826
297,298,4364,14145613,1826
298,299,4365,14145613,1826
299,300,4366,14145613,1826
300,301,4367,14145613,1826
301,302,4368,14145613,1826
302,303,4369,14145613,1826
303,304,4370,14145613,1826
304,305,4371,14145613,1826
305,306,4372,14145613,1826
306,307,4373,14145613,1826
307,308,4374,6964113,1710
308,309,4375,6964113,1710
309,310,4376,6964313,1710
310,311,4377,6964313,1710
311,312,4378,6964413,1710
312,313,4379,6964413,1710
313,314,4380,6964913,1710
314,315,4381,6902813,1830
315,316,4382,6902813,1830
316,317,4383,6902913,1830
317,318,4384,6902913,1830
318,319,4385,6903113,1830
319,320,4386,6903113,1830
320,321,4424,15701413,1855
321,322,4425,15701413,1855
322,323,4426,57848113,55297
323,324,4427,57848213,55297
324,325,4428,57848313,55297
325,326,8767,11387113,8023
326,327,8768,11387113,8023
327,328,8769,11387113,8023
328,329,8770,11387613,8023
329,330,8771,11387613,8023
330,331,8772,11387613,8023
331,332,8773,12393913,55391
332,333,8774,12394013,55391
333,334,8775,12394113,55391
334,335,8776,11334313,3992
335,336,8777,11334613,3992
336,337,8778,11325013,3991
337,338,8779,11325113,3991
338,339,8780,54742913,7991
339,340,8781,54742913,7991
340,341,8782,54743013,7991
341,342,8783,13171813,7203
342,343,8784,13171813,7203
343,344,8785,13171913,7203
344,345,8786,13171913,7203
345,346,8787,13172013,7203
346,347,8788,13172013,7203
347,348,8789,13172113,7203
348,349,8790,13172113,7203
349,350,8791,13144913,7159
350,351,8792,13144913,7159
351,352,8793,13145013,7159
352,353,8794,13145013,7159
353,354,8795,13145113,7159
354,355,8796,13145113,7159
355,356,8797,13145213,7159
356,357,8798,13145213,7159
357,358,8799,14657813,55011
358,359,8800,14657813,55011
359,360,8801,11031813,7270
360,361,8802,11031813,7270
361,362,8803,11031913,7270
362,363,8804,11031913,7270
363,364,8805,11032013,7270
364,365,8806,11032013,7270
365,366,8807,11032113,7270
366,367,8808,11032113,7270
367,368,8809,11166513,6170
368,369,8810,11166513,6170
369,370,8811,11166513,6170
370,371,8812,11166713,6170
371,372,8813,11166713,6170
372,373,8814,11166713,6170
373,374,8841,29304413,7549
374,375,8842,29304613,7549
375,376,8843,29304713,7549
376,377,8844,15438413,4041
377,378,8845,15438413,4041
378,379,8846,15438613,4041
379,380,8847,15438613,4041
380,381,8848,15438713,4041
381,382,8849,15438713,4041
382,383,8850,15438813,4041
383,384,8851,15438813,4041
384,385,8852,91417413,56068
385,386,8853,91417413,56068
386,387,8854,91901113,56068
387,388,8855,91901113,56068
388,389,8856,15438013,4042
389,390,8857,15438013,4042
390,391,8858,15438113,4042
391,392,8859,15438113,4042
392,393,8860,15438213,4042
393,394,8861,15438213,4042
394,395,8862,15438313,4042
395,396,8863,15438313,4042
396,397,8870,64827313,4040
397,398,8871,64827413,4040
398,399,8872,64827613,4040
399,400,8873,64827713,4040
400,401,8874,12967713,4057
401,402,8875,12967813,4057
402,403,8876,12967913,4057
403,404,8877,11397513,4059
404,405,8878,54948713,55641
405,406,8879,54948813,55641
406,407,8880,64763313,56427
407,408,8881,11354813,4050
408,409,8882,11354813,4050
409,410,8883,11354913,4050
410,411,8884,11354913,4050
411,412,8885,54825813,56166
412,413,8886,54825913,56166
413,414,8889,25373813,6253
414,415,8890,25373913,6253
415,416,8891,25374013,6253
416,417,8892,25374113,6253
417,418,8893,25374213,6253
418,419,8894,25374313,6253
419,420,8895,25374413,6253
420,421,8896,25374413,6253
421,422,8897,25374513,6253
422,423,8898,25374613,6253
